,sentiment
0,negative
1,negative
2,neutral
3,negative
4,negative
5,negative
6,negative
7,negative
8,negative
9,neutral
10,negative
11,negative
12,negative
13,negative
14,positive
15,positive
16,negative
17,neutral
18,negative
19,negative
20,negative
21,negative
22,negative
23,negative
24,negative
25,negative
26,negative
27,negative
28,negative
29,negative
30,negative
31,negative
32,positive
33,positive
34,negative
35,neutral
36,negative
37,negative
38,negative
39,negative
40,negative
41,negative
42,negative
43,negative
44,negative
45,negative
46,negative
47,negative
48,negative
49,negative
50,negative
51,negative
52,negative
53,negative
54,negative
55,negative
56,negative
57,negative
58,negative
59,negative
60,negative
61,negative
62,negative
63,negative
64,negative
65,negative
66,negative
67,negative
68,negative
69,negative
70,negative
71,neutral
72,neutral
73,negative
74,negative
75,negative
76,negative
77,negative
78,negative
79,negative
80,negative
81,negative
82,negative
83,neutral
84,negative
85,negative
86,neutral
87,positive
88,negative
89,negative
90,negative
91,negative
92,negative
93,negative
94,positive
95,neutral
96,neutral
97,negative
98,negative
99,negative
100,neutral
101,negative
102,neutral
103,negative
104,negative
105,negative
106,negative
107,negative
108,positive
109,neutral
110,negative
111,negative
112,negative
113,neutral
114,negative
115,negative
116,negative
117,negative
118,negative
119,negative
120,negative
121,negative
122,negative
123,negative
124,negative
125,negative
126,negative
127,negative
128,negative
129,negative
130,positive
131,negative
132,neutral
133,negative
134,neutral
135,negative
136,negative
137,neutral
138,negative
139,neutral
140,negative
141,negative
142,positive
143,neutral
144,neutral
145,neutral
146,negative
147,negative
148,negative
149,negative
150,neutral
151,negative
152,positive
153,negative
154,negative
155,negative
156,negative
157,negative
158,neutral
159,negative
160,positive
161,positive
162,negative
163,negative
164,negative
165,positive
166,positive
167,neutral
168,negative
169,negative
170,negative
171,negative
172,positive
173,negative
174,neutral
175,negative
176,negative
177,negative
178,negative
179,negative
180,neutral
181,negative
182,negative
183,negative
184,negative
185,positive
186,negative
187,negative
188,neutral
189,negative
190,neutral
191,negative
192,negative
193,negative
194,negative
195,negative
196,negative
197,negative
198,negative
199,negative
200,positive
