airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type,sentiment
Delta,9.63236E+17,Tue Feb 13 02:20:36 +0000 2018,RT @tweetbypremier: Delta expands service to Phoenix and Austin from Cincinnati @Delta  @DeltaNewsHub  @cvgairport  @AUStinAirport   @PHXSkâ€_,2,0,en,,34702832,,,,neutral
Delta,9.63033E+17,Mon Feb 12 12:52:45 +0000 2018,I usually love flying @Delta  but they cancelled our flight last night  moved it to today at 3pm  and wouldnâ€™t helpâ€_ https://t.co/Dgts4GGm78,0,0,en,,46494363,US,Queens  NY,city,negative
Delta,9.62859E+17,Mon Feb 12 01:22:48 +0000 2018,@Delta And about to be stuck in NC,0,0,en,9.62859E+17,42031872,,,,negative
Delta,9.62859E+17,Mon Feb 12 01:22:35 +0000 2018,@Delta #SHOUTOUT for fantastic #customerservice to these two gate agents: Derek / Tom!    They have been working noâ€_ https://t.co/Hrf7kvkT6V,0,0,en,,4659735921,,,,positive
Delta,9.62859E+17,Mon Feb 12 01:22:29 +0000 2018,Thanks again @Delta   2 out of 3 flights delayed over an hour. Rerouted .. 2 missed flights. And this. Iâ€™m gonna fiâ€_ https://t.co/CsWANbVLEV,0,0,en,,42031872,,,,negative
Delta,9.62859E+17,Mon Feb 12 01:22:28 +0000 2018,@domdelfino @Delta Itâ€™s in the profile,0,0,en,9.6285E+17,15949408,,,,neutral
Delta,9.62859E+17,Mon Feb 12 01:22:28 +0000 2018,Anytime Iâ€™ve ever had a prob w/a @Delta flight  theyâ€™re REAL quick to remedy it  from both the ground and corporate sides of the company.,0,0,en,9.62859E+17,16197698,,,,negative
Delta,9.62859E+17,Mon Feb 12 01:22:26 +0000 2018,Honestly  this was #strike2 for @Americanairlines &amp; the last time Iâ€™ll be flying w/you. Never have probs like this w/@Delta ,0,0,en,9.62859E+17,16197698,,,,negative
Delta,9.62859E+17,Mon Feb 12 01:21:11 +0000 2018,@delta Help me find a great fare from BOS/LGA/JFK 2/17-2/24 to someplace hot?  (Carribbean?)  Need 6 tickets.,0,0,en,,120627505,,,,neutral
Delta,9.62859E+17,Mon Feb 12 01:19:39 +0000 2018,My flight from BUF to LGA is cancelled mid boarding process due to weather (in nyc).  When I get off the plane andâ€_ https://t.co/ckT140DFHI,0,0,en,,1331887152,,,,negative
Delta,9.62859E+17,Mon Feb 12 01:19:06 +0000 2018,So now @Delta   formerly one of the last bastions of consumer sanity  will charge you $30 each way to pick your seaâ€_ https://t.co/0mngNofk41,0,0,en,,19207323,,,,neutral
Delta,9.62859E+17,Mon Feb 12 01:19:02 +0000 2018,@Delta is the absolute worst. Wife was trying to use her e-credit on a reservation via the phone and no one came onâ€_ https://t.co/xJL6hhnPGa,0,0,en,,24986018,US,Georgia  USA,admin,negative
Delta,9.62859E+17,Mon Feb 12 01:18:55 +0000 2018,RT @hrosas21: Two hour call wait  canâ€™t select seats  and I am in standby on my send leg of my trip. I need to talk to someone @Delta ASAP!â€_,1,0,en,,33841072,,,,negative
