sentiment,airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
negative,united,963795272538251265,Wed Feb 14 15:21:14 +0000 2018,@united You still SUCK!,0.0,0.0,en,9.63756635084e+17,1307870724.0,null,null,null
negative,united,963795113041260550,Wed Feb 14 15:20:36 +0000 2018,* the wifi is PAINFULLY slow * this flights had an 8:40am departure and they ran out of breakfast options 1/4 of thâ¦ https://t.co/W1yelF5Ga9,0.0,4.0,en,9.63794150167e+17,26321411.0,null,null,null
negative,united,963794978823659521,Wed Feb 14 15:20:04 +0000 2018,Thanks @united for charging me $200 to cancel my flight so I can stay home this weeknd and plan my aunts funeral.,0.0,0.0,en,null,46645826.0,null,null,null
positive,united,963794950772080641,Wed Feb 14 15:19:57 +0000 2018,Hi  @united ! Thanks for the subtle greeting. It is greatly appreciated. Happy Ballantyne's Day to you  too! - Yourâ¦ https://t.co/CGXDcK0Osa,0.0,0.0,en,null,2152510158.0,null,null,null
negative,united,963794424877723648,Wed Feb 14 15:17:51 +0000 2018,Business travel to a vacation destination = chaos and no @TSA pre service   Lookin at you  #MIA @united airport,0.0,0.0,en,null,27720562.0,null,null,null
negative,united,963794303343579136,Wed Feb 14 15:17:23 +0000 2018,Have you ever seen an espresso machine in an airplane?â We encountered this on a @united flight from London to NYC!â¦ https://t.co/s6jpoasafE,4.0,14.0,en,null,921094284.0,null,null,null
positive,united,963794294854135808,Wed Feb 14 15:17:20 +0000 2018,RT @TomPodolec: @united @flightradar24 Update  United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergenâ¦,159.0,0.0,en,null,18220818.0,null,null,null
negative,united,963794248683474944,Wed Feb 14 15:17:09 +0000 2018,We'll beat you senseless  we'll kill your rabbit  and then we'll make you prepare for death as we fly you over theâ¦ https://t.co/r6y8ARGRgm,0.0,0.0,en,null,7.56640612364e+17,null,null,null
negative,united,963793937327521793,Wed Feb 14 15:15:55 +0000 2018,wow I've flown @delta so much recently that I forgot how trash @united is,0.0,5.0,en,null,26321411.0,null,null,null
negative,united,963793881736335362,Wed Feb 14 15:15:42 +0000 2018,Me: we're flying home for our wedding and you have 25 empty 1st class seats... @united: we never ever do upgrades.â¦ https://t.co/bqCtQoYvT4,0.0,0.0,en,null,245114653.0,null,null,null
negative,united,963793704074039296,Wed Feb 14 15:15:00 +0000 2018,@united get it together https://t.co/WK2zILtNuR,1.0,1.0,en,null,8.26628133378e+17,null,null,null
negative,united,963793407666737152,Wed Feb 14 15:13:49 +0000 2018,Ladies and gentlemen  notice the airline here. Last @united flight I was on was an ancient 757 that had the cabin lâ¦ https://t.co/icgT8V4YOa,0.0,0.0,en,null,9.3807969998e+17,null,null,null
negative,united,963793187885101057,Wed Feb 14 15:12:57 +0000 2018,@united  #known #issue with the #boeing777 #stop #flying them #@NTSB do #SomethingForEveryone #dangerous #Boeing777â¦ https://t.co/zZgxIqNR0n,0.0,0.0,en,null,18565247.0,null,null,null
positive,united,963793029692821505,Wed Feb 14 15:12:19 +0000 2018,@UnitedAirHelp Aw look at you! A cute fake @united account. God bless you as you clearly have no job and time on yoâ¦ https://t.co/qyzsCU5RyL,0.0,0.0,en,9.63668448802e+17,540140236.0,null,null,null
positive,united,963792942778302464,Wed Feb 14 15:11:58 +0000 2018,RT @TomPodolec: @united @flightradar24 Update  United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergenâ¦,159.0,0.0,en,null,8.86773465533e+17,null,null,null
negative,united,963792624011313160,Wed Feb 14 15:10:42 +0000 2018,@united If @united regrets penalizing a customer then I have an idea. #regrets #CustomerExperience. Eliminate the penalty ;),0.0,0.0,en,9.63768928501e+17,1561379671.0,null,null,null
positive,united,963792519439048704,Wed Feb 14 15:10:17 +0000 2018,@united Flight attendant Jody on UA3438 was amazing this morning! Thank you  Please pass on the word!,0.0,0.0,en,null,38470120.0,null,null,null
positive,united,963792382993903616,Wed Feb 14 15:09:45 +0000 2018,RT @TomPodolec: @united @flightradar24 Update  United #UA1175 from San Francisco declared emergency  pilot sounds tense  requesting emergenâ¦,159.0,0.0,en,null,9.52153309561e+17,null,null,null
neutral,united,964000682360664070,Thu Feb 15 04:57:27 +0000 2018,how many rts do i need to send me to india to see my mom @united,1.0,2.0,en,null,2920217443.0,null,null,null
negative,united,964000534830043136,Thu Feb 15 04:56:52 +0000 2018,Are you serious @united ? This is ridiculous. Iâve been stuck here for hours. Could I get some help here?,0.0,0.0,en,null,8.0196751108e+17,null,null,null
positive,united,963999206888402944,Thu Feb 15 04:51:35 +0000 2018,RT @mattblaze: Hey  @united social media person: I know this isn't your fault. But the entire computer security community thinks this passwâ¦,441.0,0.0,en,null,102260981.0,null,null,null
negative,united,963998970254110720,Thu Feb 15 04:50:39 +0000 2018,6 hours in Chicago in a delay ââï¸ââï¸ââï¸ @united wcerytime!,0.0,0.0,en,null,175205603.0,null,null,null
neutral,united,963998003081039872,Thu Feb 15 04:46:48 +0000 2018,@bobcat666333 @Satcom_Guru @HNLAirport @united not my photo https://t.co/e9WOoQxDzf,0.0,0.0,en,9.63997671815e+17,2928059262.0,null,null,null
negative,united,963997671814971392,Thu Feb 15 04:45:29 +0000 2018,@bobcat666333 @Satcom_Guru @HNLAirport @united no just a play on words,0.0,0.0,en,9.63961758519e+17,2928059262.0,null,null,null
neutral,united,963997169031241730,Thu Feb 15 04:43:29 +0000 2018,RT @ChicagoBears: You never know who you'll run into at the airport. These lucky @United passengers ran into #DaBears!  Watch @InsideTheBeaâ¦,33.0,0.0,en,null,38249324.0,null,null,null
negative,united,963996763836133377,Thu Feb 15 04:41:53 +0000 2018,"@MetraModeller @united ""extensive""",0.0,0.0,en,9.6357465729e+17,2468867953.0,null,null,null
positive,united,963995924073795584,Thu Feb 15 04:38:33 +0000 2018,@vickyvette @united Be safe,0.0,0.0,en,9.63934510936e+17,26229504.0,null,null,null
negative,united,963995167924645889,Thu Feb 15 04:35:32 +0000 2018,Another great @united flight -even landed early!!,0.0,0.0,en,null,1205747096.0,null,null,null
neutral,united,963995043366400000,Thu Feb 15 04:35:03 +0000 2018,@GoJags5 @united I have no idea what it is but it looks like blood. I sanitized so hard today,0.0,1.0,en,9.63991739337e+17,380076545.0,null,null,null
positive,united,963993886791294976,Thu Feb 15 04:30:27 +0000 2018,@united thanks for the timely response - whenever it might come...,0.0,0.0,en,9.63978533743e+17,78648299.0,US,Vail  CO,city
positive,united,963993044448980992,Thu Feb 15 04:27:06 +0000 2018,@DrJaneRuby My cousin is a Capt for @united and is also flight marshall...always carries one in each pocket,0.0,1.0,en,9.639902211e+17,3927572774.0,null,null,null
negative,united,963992968238649344,Thu Feb 15 04:26:48 +0000 2018,@RichardRivkin @united Congratulations,0.0,0.0,en,9.63936440425e+17,2809032152.0,MX,Cuajimalpa de Morelos  Distrito Federal,city
negative,united,963992942057787392,Thu Feb 15 04:26:42 +0000 2018,@EssentialKeats Totally get it.  It pissed me off for the first quarter of the movie  but I was already hooked.  Stâ¦ https://t.co/mvlDUSZ1bO,0.0,0.0,en,9.6398732104e+17,2276150372.0,null,null,null
positive,united,963992897178673153,Thu Feb 15 04:26:31 +0000 2018,RT @united: Love at first flight. â¤ï¸ Happy Valentine's Day! #ValentinesDay #avgeek https://t.co/1WdEDm5stS,43.0,0.0,en,null,949907286.0,null,null,null
negative,united,963991739336884224,Thu Feb 15 04:21:55 +0000 2018,@TSTremble @united What the fuck...,0.0,0.0,en,9.63991088264e+17,361564463.0,null,null,null
negative,united,963991088263557123,Thu Feb 15 04:19:20 +0000 2018,100% not okay with @united baggage handlers leaving this all over my bag this morning. Prob need to update all of mâ¦ https://t.co/fytaCVu141,0.0,1.0,en,null,380076545.0,null,null,null
