sentiment,airline_handle,id_str,created_at,tweet,retweet_count,favorite_count,lang,in_reply_to_status_id_str,user_id_str,place_country_code,place_full_name,place_type
negative,AmericanAir,962934806366576641,Mon Feb 12 06:22:02 +0000 2018,@AmericanAir She attempted to. But all of your employees kept passing her off to the next person and would conveniently be off duty,0.0,0.0,en,9.6293445246e+17,276507811.0,US,Stuttgart  AR,city
neutral,AmericanAir,962426651844980737,Sat Feb 10 20:42:49 +0000 2018,RT @NoNutTraveler: We must choose #airlines wisely @AmericanAir is crystal clear that they offer NO accommodations for those flying with #fâ¦,12.0,0.0,en,null,8.34502172537e+17,null,null,null
negative,AmericanAir,962426184989663232,Sat Feb 10 20:40:58 +0000 2018,@AmericanAir @AskTSA BWI you donât pay to keep a tsa pre lane manned  sending delayed  grumpy stressed passengers tâ¦ https://t.co/EYgy2rKIF2,0.0,0.0,en,9.62425687457e+17,15847994.0,null,null,null
negative,AmericanAir,962426015074213888,Sat Feb 10 20:40:17 +0000 2018,@thepointsguy @AmericanAir going for great big chunks of sea bass?  This sounds awful. What a horrible experience.â¦ https://t.co/Y7D9HDHOZi,0.0,0.0,en,9.62402285988e+17,13248602.0,null,null,null
negative,AmericanAir,962425990403317761,Sat Feb 10 20:40:11 +0000 2018,@AmericanAir 2/ I got booked on basic economy but really wanted to get back to DC from a work trip on an earlier flâ¦ https://t.co/BhxfYdvPH1,0.0,0.0,en,9.62425434461e+17,321157905.0,null,null,null
negative,AmericanAir,962425931066462208,Sat Feb 10 20:39:57 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1426.0,0.0,en,null,9.62396786794e+17,null,null,null
negative,AmericanAir,962425888859095040,Sat Feb 10 20:39:47 +0000 2018,@AmericanAir Worst of all is tight overbooking and no flex to accommodate weather reconnection- gobsmacked youâre sâ¦ https://t.co/dY3GsFz5Dw,0.0,0.0,en,9.62424943153e+17,15847994.0,null,null,null
negative,AmericanAir,962425434460884992,Sat Feb 10 20:37:59 +0000 2018,1/ Flying today out of Charlotte back to DC today on @AmericanAir and while the outcome is not what I hoped for soâ¦ https://t.co/LgAJ01IP1J,0.0,1.0,en,null,321157905.0,null,null,null
neutral,AmericanAir,962425249521373186,Sat Feb 10 20:37:15 +0000 2018,RT @sambotta: Again? Completed correct forms when booking re: Service Dog. #aateam @AmericanAir - Gate said no room for Oliver (LEGITIMATEâ¦,3.0,0.0,en,null,51673.0,null,null,null
negative,AmericanAir,962425009581932544,Sat Feb 10 20:36:17 +0000 2018,Again? Completed correct forms when booking re: Service Dog. #aateam @AmericanAir - Gate said no room for Oliver (Lâ¦ https://t.co/Qm1d2hCvpH,3.0,4.0,en,null,18926788.0,null,null,null
negative,AmericanAir,962424943152717825,Sat Feb 10 20:36:02 +0000 2018,@AmericanAir 6 recent flights  all w some issue: tsa pre closed or inconveniently located  delays  fees to jump onâ¦ https://t.co/502WFAWNnb,0.0,0.0,en,null,15847994.0,null,null,null
positive,AmericanAir,962424669981716480,Sat Feb 10 20:34:56 +0000 2018,RT @AmericanAir: @ImsoWhitty We're thrilled to hear of a job well done! We'll be sure to pass along the kudos to our #AATeam.,1.0,0.0,en,null,81216254.0,null,null,null
negative,AmericanAir,962424293845094400,Sat Feb 10 20:33:27 +0000 2018,@CjNatoli @AmericanAir Hereâs how you fly Uncle @CjNatoli https://t.co/WxYWGT9Qcb,0.0,0.0,en,9.62365708e+17,27153646.0,null,null,null
neutral,AmericanAir,962906655045296128,Mon Feb 12 04:30:11 +0000 2018,RT @AmericanAir: Us: Selfies are sooooo 2017. Also Us: That lighting though. âï¸  https://t.co/KEFmSZsqfW,107.0,0.0,en,null,9.62900266315e+17,null,null,null
negative,AmericanAir,962815818043150336,Sun Feb 11 22:29:13 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1426.0,0.0,en,null,9.62307633482e+17,null,null,null
negative,AmericanAir,962787933471301632,Sun Feb 11 20:38:25 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1426.0,0.0,en,null,9.62559117386e+17,null,null,null
negative,AmericanAir,962540875355213824,Sun Feb 11 04:16:42 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62496454505e+17,null,null,null
negative,AmericanAir,962509564888453120,Sun Feb 11 02:12:17 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62025080921e+17,null,null,null
negative,AmericanAir,962507094124572672,Sun Feb 11 02:02:28 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62396505075e+17,null,null,null
negative,AmericanAir,962504230153138177,Sun Feb 11 01:51:05 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62249850745e+17,null,null,null
negative,AmericanAir,962502680324194304,Sun Feb 11 01:44:56 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62213556372e+17,null,null,null
negative,AmericanAir,962501328848216065,Sun Feb 11 01:39:33 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.62370259352e+17,null,null,null
negative,AmericanAir,962487918316212224,Sun Feb 11 00:46:16 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.61954572125e+17,null,null,null
negative,AmericanAir,962462906905518080,Sat Feb 10 23:06:53 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.6235902282e+17,null,null,null
negative,AmericanAir,962429028459261952,Sat Feb 10 20:52:16 +0000 2018,@AmericanAir Jerks....bad service can't be explained,0.0,0.0,en,9.6074313737e+17,46367742.0,null,null,null
negative,AmericanAir,962428556730093569,Sat Feb 10 20:50:23 +0000 2018,@AmericanAir you delayed my 8Jan MIA AA 026 036 23. Still waiting on any type of response to email and claim... please acknowledge ASAP!!!,0.0,0.0,en,null,3184832415.0,null,null,null
negative,AmericanAir,962428150184644609,Sat Feb 10 20:48:46 +0000 2018,@AmericanAir They are #AAmazing. I have tests &amp; @MedStarGUH appointments on several days this upcoming week  so youâ¦ https://t.co/8PbAwPtNcD,0.0,0.0,en,9.6233798649e+17,106487111.0,US,Boston  MA,city
negative,AmericanAir,962427795824619521,Sat Feb 10 20:47:22 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1429.0,0.0,en,null,9.6003597595e+17,null,null,null
positive,AmericanAir,962427692296450049,Sat Feb 10 20:46:57 +0000 2018,@amandau @AmericanAir @arizonagamefair @HeavyCardboard American Airlines  putting the fun back into travel  or at lâ¦ https://t.co/PuIMnop8SZ,0.0,5.0,en,9.62083213631e+17,2248341486.0,null,null,null
positive,AmericanAir,962427661380390915,Sat Feb 10 20:46:50 +0000 2018,5/ so I went to @ChickfilA so a nice tea and lunch - where I stood next to an @AmericanAir flight attendant- Laura.â¦ https://t.co/blIYmXQkw3,0.0,1.0,en,9.62427050975e+17,321157905.0,null,null,null
negative,AmericanAir,962427598537154560,Sat Feb 10 20:46:35 +0000 2018,@sambotta @AmericanAir Why i always choose Delta for my flights with my SD. They reserve bulkhead (when booking) foâ¦ https://t.co/BrITmeTFO8,0.0,0.0,en,9.58587368185e+17,38106648.0,null,null,null
neutral,AmericanAir,962427585606041600,Sat Feb 10 20:46:32 +0000 2018,RT @SecretFlying: Seattle to Tampa  Florida (&amp; vice versa) for only $134 roundtrip with @AmericanAir  https://t.co/3ccLgpoN52 https://t.co/â¦,9.0,0.0,en,null,3110436926.0,null,null,null
negative,AmericanAir,962803439733477378,Sun Feb 11 21:40:02 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1432.0,0.0,en,null,9.62306212603e+17,null,null,null
negative,AmericanAir,962949223896424448,Mon Feb 12 07:19:20 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62749082267e+17,null,null,null
negative,AmericanAir,962948909914996741,Mon Feb 12 07:18:05 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62560100535e+17,null,null,null
negative,AmericanAir,962947954138140672,Mon Feb 12 07:14:17 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62933903131e+17,null,null,null
negative,AmericanAir,962946575009009664,Mon Feb 12 07:08:48 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62811272345e+17,null,null,null
negative,AmericanAir,962943314193350657,Mon Feb 12 06:55:51 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62734119121e+17,null,null,null
negative,AmericanAir,962937439525462016,Mon Feb 12 06:32:30 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62847587375e+17,null,null,null
negative,AmericanAir,962929206383476736,Mon Feb 12 05:59:47 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62851177255e+17,null,null,null
negative,AmericanAir,962921853839953920,Mon Feb 12 05:30:34 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62896184699e+17,null,null,null
negative,AmericanAir,962917880512831488,Mon Feb 12 05:14:47 +0000 2018,RT @vgurbuxani: @AmericanAir you have the worst customer service. I was at the gate and doors just closed  but your gate agents were rude!â¦,1435.0,0.0,en,null,9.62862735414e+17,null,null,null
